model,roc_auc,pr_auc,threshold,recall
xgboost,0.8933581213110618,0.17226852294045483,0.8209144473075867,0.4551223934723481
lightgbm,0.8907953549042127,0.17141544518435592,0.8525508886266153,0.42973708068902994
random_forest,0.846679539417692,0.11239132809334719,0.05,0.42792384406165007
decision_tree,0.7995042893376866,0.08494776895386635,0.8476562704740711,0.38213961922030826
